hedge_cue,pos,parent,gparent,ggparent,gggparent,ejemplos no scope
proposed,VBN,1,0,0,2,0,
hypothesized,VBN,2,0,0,1,0,
hypothesized,VBD,1,0,0,0,0,
implying,VBG,2,0,0,0,0,
predicts,VBZ,1,0,0,0,0,
seemed,VBD,0,1,0,0,1, S960.7
suggests_or,VBZ,1,0,0,0,0,
either_or_or,CC,0,0,0,0,1, S143.6
consistent_with,JJ,1,0,0,0,0,
hypothesize,VBP,1,0,0,0,0,
seems,VBZ,4,12,1,0,0,
should,MD,10,1,0,0,1, S894.5
feel,VBP,1,0,0,0,0,
raises_the_intriguing_possibility,VBZ,1,0,0,0,0,
postulated,VBN,1,0,0,0,0,
postulated,VBD,1,0,0,0,0,
examined_for,VBN,1,0,0,0,0,
might,MD,35,4,1,0,1, S653.8
indicating,VBG,8,0,0,0,0,
putative,JJ,13,1,0,0,13, S513.10 S643.3 S134.2 S72.1 S205.3 S199.1 S199.9 S245.11 S898.3 S427.9 S441.3
propose,VBP,23,0,0,0,1, S851.8
possible,JJ,11,5,2,0,11, S145.1 S145.2 S8.10 S319.7 S323.5 S315.12 S277.6 S257.9 S401.6 S410.17 S500.14
possibly,RB,3,1,1,1,10, S518.10 S528.10 S73.6 S661.10 S733.7 S784.5 S791.6 S299.6 S201.7 S403.8
not_clear,RB,0,2,0,0,2, S605.4 S250.4
speculate,VB,0,0,0,0,1, S735.10
speculate,VBP,4,0,0,0,0,
issue_is_raised,NN,0,0,0,0,1, S4.5
not_possible_to_ascertain,RB,0,0,0,0,1, S704.3
investigate,VB,1,0,0,0,0,
predicted,VBN,0,0,2,1,0,
speculation,NN,0,0,0,0,1, S655.8
indicates_that,VBZ,13,0,0,0,1, S152.5
may_or,MD,0,0,0,0,1, S548.8
idea,NN,0,0,0,0,1, S866.7
potent,JJ,1,0,0,0,0,
plausible,JJ,0,0,0,0,1, S805.4
likely,RB,1,0,0,0,12, S644.8 S122.16 S68.5 S667.8 S788.4 S871.14 S298.2 S310.5 S263.8 S459.6 S447.9
likely,JJ,2,5,6,3,8, S92.8 S93.7 S661.6 S282.8 S875.6 S915.11 S379.8 S949.4
appear,VB,1,0,8,1,0,
appear,VBP,3,12,3,0,1, S110.7
suggesting,VBG,86,0,0,0,2, S43.8 S773.5
probably,RB,0,2,1,1,8, S556.6 S571.11 S152.10 S126.7 S10.3 S2.11 S368.3 S481.4
viable,JJ,1,0,0,0,0,
supposed,VBN,1,0,0,0,0,
possibility,NN,0,0,0,0,5, S15.11 S15.2 S339.9 S934.10 S939.12
whether_or_not,IN,2,0,0,0,0,
hypothesis,NN,0,0,0,0,10, S512.9 S547.11 S587.3 S177.2 S35.5 S719.3 S826.9 S830.12 S959.8 S988.4
if_not,IN,2,0,0,0,0,
raises_questions,VBZ,1,0,0,0,0,
estimate,VBP,1,0,0,0,0,
appears,VBZ,9,40,5,0,6, S583.10 S117.7 S152.3 S707.7 S223.9 S455.5
suggested,VBN,7,0,6,6,2, S66.3 S19.8
suggested,VBD,24,0,0,0,0,
could,MD,29,6,1,0,5, S548.8 S138.11 S307.11 S214.6 S241.3
suggests,VBZ,39,0,0,0,1, S611.9
preferentially,RB,0,0,0,0,1, S117.7
obscure,JJ,0,0,0,0,1, S758.7
suggestion,NN,0,0,0,0,1, S827.8
unknown,JJ,0,0,10,0,1, S819.6
or,CC,32,2,0,1,33, S524.4 S524.4 S531.10 S531.6 S583.9 S586.11 S590.9 S621.11 S644.5 S152.16 S96.9
presumably,RB,1,0,0,0,6, S578.4 S582.8 S590.9 S208.11 S314.4 S445.4
unclear,JJ,0,0,5,1,1, S163.3
can_not_be_excluded,MD,0,1,0,0,0,
appeared,VBD,3,14,1,0,0,
implicates,VBZ,1,0,0,0,0,
