Hedge cue,TP,FN,FP,in_tc_as_hc,in_tc
presumably,1,0,0,8,8
unclear,4,0,0,9,12
proposed,1,1,1,3,7
can,0,0,1,43,356
hypothesized,7,0,0,5,6
elusive,0,1,0,0,1
indicated that,15,0,1,40,41
idea,1,0,0,1,3
likely,10,0,0,50,50
indicate that,28,0,0,120,120
predicts,0,0,1,1,4
seem,1,0,0,5,28
should,3,0,0,14,14
apparently,2,0,2,5,14
assumed,0,0,1,2,3
appeared,2,0,0,20,29
remains to be elucidated,0,1,0,0,1
thought,7,0,0,27,30
considered,0,0,3,3,11
appear,5,0,0,30,178
would,4,0,0,6,10
not known,2,3,0,4,6
perhaps,0,0,1,7,7
suggest,67,0,0,258,487
hypothesize,1,1,0,2,9
seems,4,0,0,20,20
either or *,0,3,0,24,0
indicate,1,3,1,4,199
raising the possibility,1,0,0,1,1
potential,8,5,0,32,114
potentially,4,2,0,13,17
can not be,0,1,0,0,12
indicate specific,0,0,1,0,0
suggesting,38,0,0,111,111
suspect,0,1,0,0,2
might,16,0,0,51,54
indicating,1,0,1,11,63
either,0,0,1,0,143
yet to be understood,0,1,0,0,0
putative,3,0,2,34,48
may,100,0,0,414,415
propose,7,0,1,25,39
indicate involvement,0,0,1,0,0
apparent,0,0,1,5,36
not been clearly elucidated,0,1,0,0,0
possible,12,0,0,35,38
possibility,2,1,1,6,18
not clear,0,1,0,4,4
possibly,6,0,0,19,19
uncertain,0,1,0,0,1
hypothesis,6,1,1,11,19
hypothesised,0,1,0,0,0
probably,2,0,0,14,14
suspected,1,0,0,2,2
appears,11,0,0,72,86
must,0,1,0,0,8
suggested,13,0,0,58,59
implies,1,0,0,4,4
whether,25,0,0,70,74
can not be excluded,0,2,0,1,1
could,9,5,2,51,128
imply,2,0,0,10,13
not clearly delineated,0,1,0,0,0
notion,2,0,0,2,5
indicating that,9,0,0,44,44
suggests,12,0,0,54,54
indicates that,2,0,0,16,16
suggestion,1,0,0,1,2
unknown,2,9,0,14,38
believed,3,0,0,8,10
not fully understood,0,1,0,0,3
conclusion,0,0,1,1,12
or,0,8,1,77,928
